replicas,clients,payload,ports,quorums,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
3,300,0,4,1,198.666,1.51007,1.51665,2.18397
3,300,0,4,2,108.57,2.76361,2.69417,3.8796
3,300,0,4,3,70.817,4.23649,4.08552,5.88315
3,300,0,4,4,56.4478,5.31473,5.10308,7.34844
3,300,0,4,5,49.8043,6.02406,5.85313,8.42851
3,300,0,4,6,46.9882,6.38506,6.20882,8.9407
3,300,0,4,7,44.0039,6.81897,6.69047,9.63427
3,300,0,4,8,44.5706,6.73102,6.69843,9.64575
3,300,190,4,1,218.753,1.37141,1.43922,8.63532
3,300,190,4,2,113.578,2.64229,2.5513,15.3078
3,300,190,4,3,77.172,3.88754,3.72438,22.3463
3,300,190,4,4,66.3617,4.52866,4.3677,26.2062
3,300,190,4,5,59.2538,5.07742,4.96039,29.7624
3,300,190,4,6,50.9884,6.09164,3.5519,21.3114
3,300,190,4,7,54.4045,5.556,5.70625,34.2375
3,300,190,4,8,49.0255,6.11946,5.83567,35.014
3,300,512,4,1,408.825,0.78129,0.93705,12.8638
3,300,512,4,2,444.169,1.40965,1.63506,22.4462
3,300,512,4,3,146.776,2.04694,2.23221,30.6438
3,300,512,4,4,86.323,3.47543,2.72362,37.3899
3,300,512,4,5,98.5611,3.04382,3.12818,42.9437
3,300,512,4,6,109.031,2.94686,2.91545,40.0233
3,300,512,4,7,141.303,2.12319,2.43283,33.3979
3,300,512,4,8,122.339,2.45225,2.63243,36.138
